lr-Adam,step,train_loss,epoch,val_Class_Accuracy,val_No_Obj_Accuracy,val_Obj_Accuracy,test_Class_Accuracy,test_No_Obj_Accuracy,test_Obj_Accuracy
2.0423291792006875e-05,49,,,,,,,,
,49,41.793540954589844,0,,,,,,
3.105930382466696e-05,99,,,,,,,,
,99,32.20330047607422,0,,,,,,
4.169531585732703e-05,149,,,,,,,,
,149,27.28003692626953,0,,,,,,
5.2331327889987105e-05,199,,,,,,,,
,199,24.54239273071289,0,,,,,,
6.296733992264718e-05,249,,,,,,,,
,249,20.57156753540039,0,,,,,,
7.360335195530726e-05,299,,,,,,,,
,299,18.300405502319336,0,,,,,,
8.423936398796733e-05,349,,,,,,,,
,349,18.48307228088379,0,,,,,,
9.487537602062742e-05,399,,,,,,,,
,399,17.208484649658203,0,,,,,,
0.00010551138805328749,449,,,,,,,,
,449,15.371238708496094,0,,,,,,
0.00011614740008594758,499,,,,,,,,
,499,15.362476348876953,0,,,,,,
0.00012678341211860765,549,,,,,,,,
,549,14.122435569763184,0,,,,,,
0.00013741942415126774,599,,,,,,,,
,599,15.446758270263672,0,,,,,,
0.00014805543618392778,649,,,,,,,,
,649,13.714587211608887,0,,,,,,
0.00015869144821658787,699,,,,,,,,
,699,13.653181076049805,0,,,,,,
0.00016932746024924796,749,,,,,,,,
,749,15.161913871765137,0,,,,,,
0.00017996347228190805,799,,,,,,,,
,799,14.26641845703125,0,,,,,,
0.00019059948431456811,849,,,,,,,,
,849,13.534213066101074,0,,,,,,
0.00020123549634722818,899,,,,,,,,
,899,14.745277404785156,0,,,,,,
,930,,0,34.036380767822266,98.38533782958984,4.390015125274658,,,
0.00021187150837988827,949,,,,,,,,
,949,12.736913681030273,1,,,,,,
0.00022250752041254833,999,,,,,,,,
,999,14.45666217803955,1,,,,,,
0.00023314353244520842,1049,,,,,,,,
,1049,13.560482025146484,1,,,,,,
0.0002437795444778685,1099,,,,,,,,
,1099,14.310694694519043,1,,,,,,
0.0002544155565105286,1149,,,,,,,,
,1149,12.727107048034668,1,,,,,,
0.0002650515685431887,1199,,,,,,,,
,1199,12.12899398803711,1,,,,,,
0.0002756875805758488,1249,,,,,,,,
,1249,11.19482421875,1,,,,,,
