lr-Adam,step,train loss,epoch
0.0001,49,,
,49,7.681663990020752,0
0.0001,99,,
,99,7.1045122146606445,0
0.0001,149,,
,149,6.897355079650879,0
0.0001,199,,
,199,7.063459396362305,0
0.0001,249,,
,249,6.877878665924072,0
0.0001,299,,
,299,6.751171588897705,0
0.0001,349,,
,349,6.5897064208984375,0
0.0001,399,,
,399,6.634158611297607,0
0.0001,449,,
,449,6.547183990478516,0
0.0001,499,,
,499,6.553548812866211,0
0.0001,549,,
,549,6.40740966796875,0
0.0001,599,,
,599,6.382156848907471,0
0.0001,649,,
,649,6.545941352844238,0
0.0001,699,,
,699,6.335777282714844,0
0.0001,749,,
,749,6.119232177734375,0
