lr-Adam,step,train loss,epoch
0.0001,49,,
,49,6.3333635330200195,0
0.0001,99,,
,99,6.326744079589844,0
0.0001,149,,
,149,6.086215019226074,0
0.0001,199,,
,199,6.0120110511779785,0
0.0001,249,,
,249,6.442584037780762,0
0.0001,299,,
,299,6.002030372619629,0
0.0001,349,,
,349,6.192617416381836,0
0.0001,399,,
,399,6.297253608703613,0
0.0001,449,,
,449,6.3310956954956055,0
0.0001,499,,
,499,5.894847869873047,0
0.0001,549,,
,549,6.034970283508301,0
0.0001,599,,
,599,6.228515625,0
0.0001,649,,
,649,6.204848289489746,0
0.0001,699,,
,699,6.153088092803955,0
0.0001,749,,
,749,5.704957485198975,0
0.0001,799,,
,799,6.078631401062012,0
0.0001,849,,
,849,5.8774333000183105,0
0.0001,899,,
,899,6.237210750579834,0
0.0001,949,,
,949,5.967525959014893,0
0.0001,999,,
,999,6.023321151733398,0
0.0001,1049,,
,1049,5.880979537963867,0
0.0001,1099,,
,1099,5.928112030029297,0
0.0001,1149,,
,1149,6.006688594818115,0
0.0001,1199,,
,1199,6.129838466644287,0
0.0001,1249,,
,1249,6.019465923309326,0
0.0001,1299,,
,1299,5.947372913360596,0
0.0001,1349,,
,1349,6.023690223693848,0
0.0001,1399,,
,1399,5.745824813842773,0
0.0001,1449,,
,1449,5.8447113037109375,0
0.0001,1499,,
,1499,5.871553897857666,0
0.0001,1549,,
,1549,5.991532802581787,0
0.0001,1599,,
,1599,5.484952926635742,0
0.0001,1649,,
,1649,5.787688732147217,0
0.0001,1699,,
,1699,6.0258073806762695,0
0.0001,1749,,
,1749,5.819087982177734,0
0.0001,1799,,
,1799,5.511011123657227,0
0.0001,1849,,
,1849,5.589200496673584,1
0.0001,1899,,
,1899,5.63236141204834,1
0.0001,1949,,
,1949,5.769744396209717,1
0.0001,1999,,
,1999,5.522042274475098,1
0.0001,2049,,
,2049,5.60524845123291,1
0.0001,2099,,
,2099,5.521925926208496,1
0.0001,2149,,
,2149,5.5414838790893555,1
0.0001,2199,,
,2199,5.851633548736572,1
0.0001,2249,,
,2249,5.4292778968811035,1
0.0001,2299,,
,2299,5.444377422332764,1
0.0001,2349,,
,2349,5.267970561981201,1
0.0001,2399,,
,2399,5.32246208190918,1
0.0001,2449,,
,2449,5.640737056732178,1
0.0001,2499,,
,2499,5.462702751159668,1
0.0001,2549,,
,2549,5.638763904571533,1
0.0001,2599,,
,2599,5.972470283508301,1
0.0001,2649,,
,2649,5.163046836853027,1
0.0001,2699,,
,2699,5.668227672576904,1
0.0001,2749,,
,2749,5.027409553527832,1
0.0001,2799,,
,2799,5.394433975219727,1
0.0001,2849,,
,2849,5.403210639953613,1
0.0001,2899,,
,2899,5.427391529083252,1
0.0001,2949,,
,2949,5.457337379455566,1
0.0001,2999,,
,2999,5.616244316101074,1
0.0001,3049,,
,3049,5.477790832519531,1
0.0001,3099,,
,3099,5.344738006591797,1
0.0001,3149,,
,3149,5.385964393615723,1
0.0001,3199,,
