,
.
'
the
and
i
to
of
;
a
you
my
that
in
?
is
d
!
not
for
-
with
me
it
s
be
your
his
he
this
but
as
have
thou
so
him
will
what
by
thy
all
are
her
do
no
we
shall
if
on
thee
or
lord
our
o
king
good
now
sir
from
they
at
come
she
ll
let
enter
here
which
would
more
was
well
then
there
love
how
am
[
their
]
when
man
them
hath
an
than
may
:
one
like
upon
say
go
know
us
make
did
such
were
should
yet
must
why
see
had
out
tis
give
where
some
time
these
who
too
can
t
take
speak
most
th
first
mine
duke
up
tell
father
think
st
heart
much
exeunt
never
queen
nor
exit
men
doth
look
any
art
day
lady
god
great
world
death
hear
away
life
hand
master
before
made
true
night
very
sweet
scene
thus
own
prince
fair
again
ay
cannot
pray
call
son
two
old
other
long
been
eyes
fear
blood
name
being
done
down
leave
heaven
both
brother
into
nothing
though
honour
poor
)
(
could
therefore
er
till
whose
comes
noble
henry
ever
caesar
gloucester
grace
against
better
nay
stand
hast
many
even
second
house
way
myself
still
bear
john
use
those
wife
peace
head
only
dead
find
france
gentleman
antony
richard
live
part
madam
word
off
might
put
york
within
show
every
keep
fool
little
brutus
die
friends
"
none
hold
young
set
gone
aside
lords
stay
soul
dear
thine
place
another
mistress
himself
falstaff
best
since
bring
copies
friend
service
electronic
distributed
page
indeed
boy
daughter
mother
eye
full
unto
dost
servant
answer
whom
warwick
face
once
words
others
after
tongue
woman
else
three
faith
about
please
has
nature
said
thought
edward
gentle
forth
without
hence
welcome
ere
mind
marry
fortune
iago
turn
thing
rest
ham
end
hope
matter
play
fall
makes
back
sword
farewell
right
clown
rome
william
heard
timon
act
bid
home
cause
truth
came
follow
othello
things
england
meet
husband
lie
thousand
does
morrow
fellow
help
kill
rather
hands
news
earth
get
hour
enough
ring
state
pardon
1
bed
shame
wilt
power
re
crown
2
messenger
false
under
red
mean
shalt
thank
sure
hither
ye
ford
macbeth
honest
reason
gods
far
tears
youth
fight
lay
kind
body
yourself
cleopatra
ill
saw
new
wrong
war
soldier
cousin
light
majesty
last
wit
near
shakespeare
seen
fire
sent
spirit
swear
court
means
sleep
rosalind
through
mad
antonio
send
high
break
hot
lucius
suffolk
mark
shallow
arms
buckingham
together
lost
yours
provided
wish
villain
cassio
prove
strange
project
troilus
works
letter
return
sea
thoughts
while
complete
left
present
etext
lies
fly
third
used
horse
child
between
each
believe
speed
itself
devil
justice
says
hang
syracuse
charges
alone
same
sun
beat
gutenberg
talk
seek
personal
half
beauty
told
valentine
lear
library
gave
business
breath
ha
titus
bloody
worthy
found
cassius
desdemona
copyright
foul
college
ne
alas
permission
french
beseech
inc
readable
distribution
less
illinois
benedictine
machine
includes
dromio
version
gold
hector
1990
1993
commercially
prohibited
commercial
download
membership
law
pity
proteus
<<this
>>
people
antipholus
desire
sound
prithee
grief
care
general
seem
land
angelo
mrs
petruchio
cry
coriolanus
looks
sit
proud
save
knows
kiss
royal
self
gentlemen
over
soldiers
uncle
pompey
clarence
draw
margaret
days
nurse
ho
purpose
times
lose
dare
bastard
read
watch
dog
toby
company
worth
lives
wear
yes
happy
sister
age
music
cold
charge
sight
run
ear
gracious
holy
loves
quickly
work
born
thyself
berowne
strong
joy
brought
late
menenius
virtue
