lr-Adam,step,train loss,epoch
0.0001,49,,
,49,7.723071098327637,0
0.0001,99,,
,99,7.25743293762207,0
0.0001,149,,
,149,6.870499610900879,0
0.0001,199,,
,199,6.844698429107666,0
0.0001,249,,
,249,7.034358501434326,0
0.0001,299,,
,299,6.514896392822266,0
0.0001,349,,
,349,6.84697151184082,0
0.0001,399,,
,399,6.520391464233398,0
0.0001,449,,
,449,6.735431671142578,0
0.0001,499,,
,499,6.634069442749023,0
0.0001,549,,
,549,6.446128845214844,0
0.0001,599,,
,599,6.520708084106445,0
0.0001,649,,
,649,6.367837429046631,0
0.0001,699,,
,699,6.315454959869385,0
0.0001,749,,
,749,6.345042705535889,0
0.0001,799,,
,799,6.168483257293701,0
0.0001,849,,
,849,6.474443435668945,0
0.0001,899,,
,899,6.269603252410889,0
0.0001,949,,
,949,6.229791641235352,0
0.0001,999,,
,999,6.1885666847229,0
0.0001,1049,,
,1049,6.144736289978027,0
